Winner,Welo,Belo,turncount,PawnAdv10,KnightAdv10,BishopAdv10,RookAdv10,QueenAdv10,PawnAdv20,KnightAdv20,BishopAdv20,RookAdv20,QueenAdv20,PawnAdv30,KnightAdv30,BishopAdv30,RookAdv30,QueenAdv30,PawnAdv,KnightAdv,BishopAdv,RookAdv,QueenAdv,nool
W,2851,0,89,0,0,0,0,0,0,-5,4,0,0,0,-15,14,0,0,43,-64,73,0,-1,
W,2851,0,91,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,-52,0,2,8,1,
W,2850,2675,67,-1,0,0,0,0,-2,0,0,0,0,-2,1,0,0,0,-23,-13,-11,-1,13,
W,2849,0,49,-1,0,0,0,0,-1,1,0,0,0,2,1,0,0,-1,-27,4,-4,11,-1,
W,2849,0,57,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,25,-1,13,-14,0,
W,2849,2709,81,0,0,0,0,0,1,0,-1,0,0,1,10,-11,0,0,-18,59,-61,1,0,
D,2849,2770,65,-3,0,0,0,0,-5,10,-9,0,1,-5,20,-19,0,1,-8,28,-25,1,1,
W,2849,2718,75,-1,0,0,0,0,-5,0,0,0,0,-8,-5,1,0,0,-65,38,-1,-1,1,
D,2849,2770,50,-3,0,0,0,0,-5,10,-9,0,1,-5,20,-19,0,1,-5,40,-39,0,1,
W,2849,0,69,1,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,28,-37,38,-1,1,
D,2849,2663,116,-1,0,0,0,0,0,-7,6,0,0,0,-18,16,0,0,2,-122,121,-2,1,
D,2849,2663,95,-1,0,0,0,0,-1,1,0,0,0,1,-8,8,0,0,0,-73,73,1,-1,
D,2849,2772,92,-3,0,0,0,0,-5,10,-9,0,1,-5,20,-20,0,1,20,28,-26,-2,1,
W,2849,0,55,1,0,0,0,0,1,1,0,0,0,2,1,0,0,0,2,-9,-3,6,1,
W,2849,0,67,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,37,-59,60,2,0,
D,2849,2790,74,0,0,0,0,0,0,-3,2,0,0,0,-13,11,0,0,19,-15,18,8,-7,
D,2849,2746,53,-3,0,0,0,0,-11,0,1,0,0,-6,8,1,-9,0,-9,52,1,-32,-1,
W,2849,2663,89,-1,0,0,0,0,-1,1,0,0,0,1,-8,8,0,0,68,-8,9,0,1,
D,2849,2770,48,1,0,0,0,0,1,0,0,0,0,1,8,-7,0,1,1,30,-28,0,1,
W,2849,2672,65,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,14,-1,1,-1,1,
D,2849,2770,106,-3,0,0,0,0,-5,10,-9,0,1,-5,20,-19,0,1,11,-24,22,-3,1,
W,2849,2629,93,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-59,59,-2,1,
W,2849,2745,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,26,-25,0,0,
W,2849,0,75,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,45,2,-3,0,-1,
D,2849,2770,27,-3,0,0,0,0,-5,10,-9,0,1,999,999,999,999,999,-5,17,-16,0,1,
W,2849,0,59,1,0,0,0,0,1,-1,0,0,0,1,-11,9,0,0,7,-40,38,0,1,
W,2849,0,45,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,4,-6,7,0,0,
W,2849,2679,61,0,0,0,0,0,3,0,0,0,0,7,-7,8,0,0,45,-51,7,-2,15,
D,2849,2695,95,-1,0,0,0,0,-1,0,0,0,0,-2,0,0,0,0,-33,60,-41,-19,-1,
D,2849,2676,54,-1,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,2,8,-8,0,0,
D,2849,2770,76,0,0,0,0,0,-3,0,0,0,0,-3,0,0,0,0,-3,41,-42,0,1,
W,2849,0,81,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-2,43,-41,-2,0,
W,2849,2718,67,-1,0,0,0,0,-1,0,0,0,0,1,-3,0,0,0,28,18,-20,-1,0,
D,2849,2770,21,-1,0,0,0,0,-1,1,0,0,0,999,999,999,999,999,-1,1,0,0,0,
W,2849,0,53,0,0,1,0,0,2,0,1,0,0,15,1,1,0,0,54,-2,-10,7,13,
D,2849,2770,82,0,0,0,0,0,2,0,-1,0,0,8,10,-11,1,-1,101,20,-110,45,-1,
W,2849,0,77,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0,-1,-12,12,26,-20,-1,
W,2849,2663,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,-17,13,0,
W,2849,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,1,-1,-1,
W,2849,2718,89,3,0,0,0,0,3,0,0,0,0,4,-2,0,0,0,15,-26,26,0,1,
W,2849,2709,87,1,0,0,0,0,2,0,0,0,0,2,0,-1,0,0,2,0,0,-2,1,
W,2849,2658,73,-1,0,0,0,0,-1,1,0,0,0,-1,-6,8,0,0,12,-49,52,0,1,
W,2849,0,81,0,0,0,0,0,0,-3,2,0,0,0,-13,12,0,0,-6,-31,32,-2,1,
D,2847,2807,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,-18,-1,0,
D,2847,0,38,0,0,0,0,0,0,0,0,0,0,-10,0,10,0,0,-10,0,18,0,0,
B,2847,0,72,0,0,0,0,0,0,0,0,0,0,-13,4,-3,0,0,-53,34,-32,1,0,
W,2847,0,53,0,0,0,0,0,-1,0,0,0,0,2,0,-3,0,0,1,-18,-3,19,1,
D,2847,2629,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,
W,2847,2734,86,0,0,0,0,0,1,0,0,0,0,-4,-1,0,0,0,9,-1,2,0,-1,
B,2847,2624,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,-62,40,1,-1,
D,2847,2736,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,3,-3,0,
W,2847,2753,123,-1,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,0,-7,-2,0,-1,1,
W,2841,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,-17,1,1,7,
W,2841,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-52,51,0,0,
W,2838,2538,95,1,0,0,0,0,1,0,-1,0,0,1,0,-1,0,0,13,-1,-2,1,1,
D,2838,2610,70,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,10,-1,-2,1,0,
W,2838,2651,47,-1,0,0,0,0,-5,0,0,0,0,-5,0,0,0,0,-17,14,-14,3,0,
B,2838,2688,94,3,0,0,0,0,3,0,0,0,0,4,-1,0,0,0,52,5,11,1,-9,
W,2838,0,46,0,4,-3,0,0,0,14,-13,0,0,0,24,-22,0,0,1,29,-28,0,0,
W,2838,0,51,1,0,0,0,0,1,0,0,0,0,1,0,-1,0,0,-25,21,-8,0,0,
W,2838,0,45,0,0,0,0,0,0,-1,1,0,0,1,-1,1,0,0,2,-1,1,0,0,
D,2838,2610,156,0,0,0,0,0,1,0,0,0,0,3,-9,8,0,-1,-120,-138,155,-12,-1,
