Winner,Welo,Belo,turncount,PawnAdv10,KnightAdv10,BishopAdv10,RookAdv10,QueenAdv10,PawnAdv20,KnightAdv20,BishopAdv20,RookAdv20,QueenAdv20,PawnAdv30,KnightAdv30,BishopAdv30,RookAdv30,QueenAdv30,PawnAdv,KnightAdv,BishopAdv,RookAdv,QueenAdv,nool
D,2723,2669,59,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,6,24,-24,0,1,
W,2723,2726,113,3,0,0,0,0,3,0,0,0,0,4,-1,0,0,0,42,-75,74,1,-1,
B,2723,2676,60,-3,0,0,0,0,-5,10,-9,0,1,-5,20,-19,0,1,4,63,-74,0,1,
D,2723,2717,85,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,43,-2,-19,18,-1,
D,2723,2729,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,-104,34,-1,0,
D,2723,2807,75,-1,0,0,0,0,-1,-1,0,0,0,3,-1,0,0,-1,47,-23,1,2,-1,
W,2723,2509,85,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0,0,3,26,-28,2,0,
W,2723,2385,123,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-18,46,-29,28,0,
D,2723,2642,82,-1,0,0,0,0,-5,0,0,0,0,-4,0,0,0,0,-4,8,-6,-3,3,
D,2723,2601,74,0,0,0,0,0,0,2,-1,0,0,0,12,-10,0,0,52,63,-26,-32,0,
W,2723,2650,131,0,0,0,0,0,0,-3,2,0,0,-1,-13,12,0,0,-25,-28,-23,46,2,
D,2723,2564,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,122,-132,0,1,
W,2723,2665,99,-1,0,0,0,0,-1,1,0,0,0,-1,1,0,0,1,-12,2,10,-2,1,
D,2723,2583,47,-1,0,0,0,0,-5,0,0,0,0,-5,0,0,0,0,-4,-11,11,0,0,
W,2723,2527,47,0,1,0,0,0,-1,1,1,0,0,-1,1,1,0,0,5,1,4,0,0,
W,2723,2518,69,-1,0,0,0,0,-1,1,0,0,0,-1,1,0,0,0,-3,-29,27,0,0,
W,2723,2530,81,1,0,0,0,0,1,0,0,0,0,1,8,-8,0,0,2,39,-38,-1,0,
D,2723,2766,106,-1,0,0,0,0,-1,1,0,0,0,-1,2,0,0,0,13,2,0,-1,-1,
W,2723,2516,77,0,-1,0,0,0,0,-11,10,0,0,1,-13,13,0,0,2,-13,13,0,-1,
B,2723,2679,140,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,-93,22,-21,1,1,
W,2723,2652,61,-6,0,0,0,0,-17,0,0,0,0,-21,0,-5,0,0,-16,-22,-6,0,0,
D,2723,2647,98,0,0,0,0,0,-1,-1,0,0,0,-2,-1,0,0,0,-86,55,31,-41,1,
W,2723,2603,99,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-3,-41,38,-1,0,
W,2723,2644,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,-32,40,-1,0,
B,2723,2700,149,-1,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,-52,10,-122,-60,86,
B,2723,2647,122,-1,0,0,0,0,-8,-1,0,0,0,-18,-5,-3,0,1,-98,-92,74,0,1,
W,2723,2198,75,-1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,45,2,2,-1,1,
W,2723,2306,57,0,0,0,0,0,-1,0,0,0,0,-1,8,-7,0,0,-1,35,-33,0,0,
W,2723,2515,71,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,1,1,1,0,
W,2723,2729,91,1,-1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,2,-41,-4,-51,47,
W,2723,2604,63,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,7,-1,1,0,0,
W,2723,2620,107,0,0,0,0,0,0,0,0,0,0,-2,10,-9,0,0,-5,74,-87,8,2,
D,2723,2716,136,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,87,4,0,-2,0,
B,2723,2568,98,-1,0,0,0,0,-1,-9,8,0,0,-1,-19,18,0,0,-57,37,-38,0,-1,
D,2723,2698,37,-1,0,0,0,0,-1,1,0,0,0,-4,2,0,0,0,-4,2,0,1,0,
W,2723,2737,49,0,0,0,0,0,1,0,0,0,0,0,6,-7,0,0,0,13,-26,9,-3,
D,2723,2511,132,-1,0,0,0,0,-1,0,0,0,0,-1,-5,6,0,0,10,-106,105,2,-1,
D,2723,2740,73,0,0,0,0,0,-3,0,0,0,0,-2,0,0,0,0,-1,-1,0,0,-1,
D,2723,2713,92,-1,0,0,0,0,-1,0,0,0,0,-4,0,0,0,0,-26,-40,41,-1,0,
B,2723,2712,64,-1,0,0,0,0,-1,4,-3,0,0,-1,7,-7,0,0,6,7,-10,1,0,
B,2723,2612,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41,145,-146,-2,1,
D,2723,2664,78,0,0,0,0,0,0,-1,0,0,0,1,-11,10,0,0,-24,-24,24,42,-21,
D,2723,2703,121,0,0,0,0,0,-10,0,0,0,0,-20,-1,0,0,0,11,-2,2,-1,1,
W,2723,1930,45,0,0,0,0,0,-1,0,0,0,0,-1,-7,8,0,0,6,-11,23,-12,0,
W,2723,2807,87,-1,0,0,0,0,-1,4,-3,0,0,-1,7,-7,0,0,5,2,-7,-1,0,
D,2723,2766,37,0,0,0,0,0,-2,0,0,0,0,-2,-1,0,0,0,-2,-8,7,0,0,
W,2723,2666,95,-1,0,0,0,0,-1,1,0,0,0,-2,1,0,0,0,27,-14,39,-26,0,
D,2723,2729,40,0,0,0,0,0,-1,-3,1,0,0,-11,-3,1,0,0,-27,-6,9,-3,0,
D,2723,2594,75,0,-1,0,0,0,1,-11,10,0,0,1,-21,20,0,0,1,-67,65,0,-1,
W,2723,2635,71,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,127,5,-39,0,0,
W,2723,2585,73,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-26,-2,5,-5,0,
D,2723,2690,91,-1,0,0,0,0,-1,0,-1,0,0,-2,1,-1,0,0,11,-8,8,1,1,
W,2723,2584,73,-1,0,0,0,0,-1,0,0,0,0,0,-5,4,0,0,20,-61,62,0,0,
D,2723,2737,56,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-14,5,-27,20,1,
D,2723,2743,94,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-7,-58,59,0,-1,
B,2723,2783,116,0,0,0,0,0,-1,0,0,0,0,-1,4,-5,0,0,-108,-4,-1,2,1,
D,2722,2693,80,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,43,-42,-1,1,
D,2722,2735,59,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,0,1,-1,1,0,1,1,
D,2722,2737,45,0,0,0,0,0,3,-1,0,0,0,13,7,-7,0,0,28,22,-22,0,0,
W,2722,2591,105,0,0,0,0,0,0,-7,6,0,0,1,-17,16,0,0,26,-8,36,-4,0,
W,2722,2627,87,0,0,0,0,0,-3,10,-9,0,0,-10,17,-20,0,2,-31,16,-129,-2,59,
W,2722,2595,93,3,0,0,0,0,3,-1,0,0,0,3,-1,0,-1,0,-21,34,-33,-1,1,
B,2722,2597,80,-1,0,0,0,0,-1,-1,0,0,0,-7,-10,8,0,0,-49,-44,94,-36,-1,
W,2722,2119,93,0,-1,0,0,0,0,-9,9,0,0,0,-9,9,0,0,11,-10,9,-2,0,
W,2722,2712,134,0,0,0,0,0,-9,4,-3,0,0,-20,14,-13,0,0,0,18,-16,-2,-2,
W,2722,2666,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,8,98,-52,1,
W,2722,2257,59,0,4,-3,0,0,-3,14,-13,0,0,-4,24,-23,0,0,-2,31,-34,0,1,
D,2722,2732,32,0,0,0,0,0,3,-1,0,0,0,13,-1,0,0,0,15,-1,0,0,0,
D,2722,2656,53,-1,0,0,0,0,-1,4,-3,0,0,-1,15,-13,0,0,12,38,-36,0,0,
B,2722,2794,102,0,0,0,0,0,0,-1,2,0,0,-5,-3,5,0,1,-29,-52,53,-2,1,
D,2722,2663,37,-1,0,0,0,0,-1,0,0,0,0,-1,2,-1,0,0,-1,5,-5,0,0,
D,2722,0,69,0,0,0,0,0,0,-3,0,0,0,1,-3,0,0,0,24,-37,35,2,0,
B,2722,2766,90,0,0,0,0,0,3,-1,0,0,0,13,-1,0,0,0,66,15,2,11,-9,
D,2722,2831,82,-1,0,0,0,0,-1,0,0,0,0,-1,6,-5,0,0,-3,-6,-7,12,0,
B,2722,2827,74,-1,0,0,0,0,-2,0,0,0,0,-4,0,1,0,0,-44,-14,11,-1,0,
W,2722,2649,69,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-19,9,-13,11,
B,2722,2654,108,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-56,58,-38,-30,-1,
B,2722,2777,72,-1,0,0,0,0,-1,4,-3,0,0,-1,7,-7,0,0,21,6,-4,4,0,
W,2722,0,68,0,0,0,0,0,-9,-3,4,0,0,-19,-13,14,0,0,-31,-51,52,-1,1,
W,2722,2794,113,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,25,0,0,1,-1,
B,2722,2275,66,-1,0,0,0,0,3,0,0,0,0,13,0,-1,0,0,27,52,-1,6,-25,
W,2722,2732,105,0,1,0,0,0,0,1,0,0,0,3,1,-1,0,0,20,18,-2,0,1,
D,2722,2807,68,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,-6,8,-7,2,1,
D,2722,2714,35,-1,0,0,0,0,-4,1,0,0,0,-4,1,1,0,0,-4,1,1,0,-1,
D,2722,2608,89,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,-5,-2,1,0,-1,
W,2722,2634,146,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,185,36,-40,-1,-1,
B,2722,0,66,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,7,1,0,0,
D,2722,2797,82,-3,0,0,0,0,-5,10,-9,0,1,-5,20,-19,0,1,-3,77,-59,-12,1,
D,2722,2761,60,-1,0,0,0,0,-8,-9,8,0,0,-8,-15,15,0,0,-16,-12,15,-1,1,
W,2722,2709,69,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,8,-12,34,0,0,
W,2722,2736,73,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,34,-33,35,1,-1,
W,2722,2496,87,-1,0,0,0,0,-1,0,0,0,0,-1,-8,8,0,0,19,-65,64,-1,0,
W,2722,2745,161,-1,0,0,0,0,-1,1,0,0,0,1,-8,8,0,0,-53,-74,132,-1,0,
W,2722,2562,137,-1,0,0,0,0,-1,0,0,0,0,-1,-9,8,0,0,-236,-9,8,45,0,
D,2722,2736,50,3,0,0,0,0,3,0,0,0,0,0,-1,0,0,0,0,17,-17,1,0,
D,2722,2690,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,1,0,0,
D,2722,2777,69,0,0,0,0,0,0,0,0,0,0,6,-5,4,0,0,18,-44,44,-1,-1,
D,2722,2307,98,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-19,-2,-2,1,1,
D,2722,2720,202,-3,0,0,0,0,-5,10,-9,0,1,-5,21,-19,0,1,140,42,-38,-1,1,
B,2722,2687,110,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-100,-74,125,-54,0,
W,2722,2695,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-104,46,3,-1,1,
D,2722,2735,100,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-56,55,-54,2,0,
W,2722,2496,65,-1,0,0,0,0,-1,1,0,0,0,-1,-6,8,0,0,15,-41,43,1,0,
D,2722,2766,46,-1,0,0,0,0,-1,0,0,0,0,3,-7,5,0,0,9,-12,11,0,-1,
B,2722,2745,122,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-34,-44,40,3,-1,
D,2722,0,68,-1,0,0,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-3,-1,0,1,1,
W,2722,2679,59,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,15,26,-27,5,0,
W,2722,2147,69,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,-2,38,-56,22,0,
D,2722,0,72,-1,0,0,0,0,-1,0,0,0,0,0,6,-5,0,0,-19,48,-46,0,0,
W,2722,0,39,-1,0,0,0,0,0,0,0,0,0,0,-4,4,0,1,0,-10,14,-2,1,
W,2722,0,66,-1,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,0,18,-2,-1,1,0,
W,2722,2532,60,-1,0,0,0,0,0,2,-1,0,0,0,12,-11,0,0,14,41,-34,-5,0,
D,2722,2643,105,1,-1,0,0,0,1,-1,0,0,0,0,-1,0,0,-1,-3,-14,12,0,-1,
W,2722,2585,143,0,0,0,0,0,-1,0,0,0,0,-1,2,0,-1,0,132,114,-2,-113,-1,
D,2722,2662,86,-1,0,0,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-81,-24,23,0,0,
W,2722,2253,65,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,44,-17,19,1,-1,
B,2722,2716,60,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,-15,0,1,0,0,
D,2722,2747,72,-1,0,0,0,0,-1,2,-3,0,0,-1,12,-13,0,0,25,15,-30,0,-1,
W,2722,0,51,-1,0,0,0,0,-1,0,0,0,0,-1,6,-7,0,0,35,16,-17,0,-5,
W,2722,2722,99,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,57,-10,14,1,-1,
W,2722,2617,123,-1,0,0,0,0,-1,4,-3,0,0,-1,7,-7,0,0,135,7,-12,-1,2,
D,2722,2712,74,3,0,0,0,0,3,0,0,0,0,3,3,-3,0,0,12,4,-2,-1,-1,
D,2722,2697,57,-1,0,0,0,0,-1,0,0,0,0,-1,6,-5,0,0,4,16,-13,0,-3,
W,2722,2707,87,-1,0,0,0,0,-1,4,-3,0,0,12,13,-22,0,0,56,-24,-119,-17,53,
D,2722,2707,64,-1,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,-1,12,-16,0,0,
D,2722,2729,120,0,0,0,0,0,-1,-1,0,0,0,-1,-2,-1,0,0,10,-2,-2,0,1,
B,2722,2693,82,0,0,0,0,0,-1,0,-1,0,0,-1,9,-11,0,0,-34,30,-17,-18,-1,
W,2722,2693,99,3,0,0,0,0,3,0,0,0,0,3,-1,0,0,0,46,-18,17,-6,-1,
D,2722,2585,117,0,0,0,0,0,0,0,0,0,0,0,8,-7,0,0,0,94,-93,0,-1,
D,2722,2766,46,-1,0,0,0,0,-1,0,0,0,0,-8,-2,2,0,0,-11,-16,4,14,0,
B,2722,2723,120,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-70,-24,21,1,-1,
D,2722,2735,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,
W,2722,2693,51,3,0,0,0,0,3,0,0,0,0,4,-1,0,0,0,1,-9,5,0,0,
B,2722,2732,72,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,4,-24,21,0,0,
W,2722,2331,83,0,0,0,0,0,-1,0,0,0,0,-1,2,-1,0,0,-24,54,-28,-1,0,
D,2722,0,101,0,0,0,0,0,1,0,0,0,-1,1,-10,8,0,-1,6,-12,9,-1,-1,
W,2722,2736,107,3,0,0,0,0,3,0,0,0,0,4,-3,3,0,0,61,0,4,-1,-1,
B,2722,2496,84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,31,-18,-14,0,
W,2722,2608,131,1,0,0,0,0,1,1,0,0,0,1,-2,2,0,0,157,-70,98,-31,0,
W,2722,2663,73,-1,0,0,0,0,-1,1,0,0,0,0,1,0,0,-1,36,-41,21,19,-1,
W,2722,2666,95,3,0,0,0,0,3,0,0,0,0,2,-1,1,0,0,23,-58,58,0,-1,
W,2722,2496,115,-1,0,0,0,0,-1,0,0,0,0,-1,-8,8,0,0,-15,-56,58,12,2,
W,2722,2619,41,0,0,0,0,0,-1,0,0,0,0,-8,0,0,0,0,-8,-2,1,0,0,
D,2722,2777,70,-1,0,0,0,0,-1,1,0,0,0,-2,1,1,0,0,-54,2,2,-5,3,
W,2722,2716,93,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,-11,40,-32,-13,0,
W,2722,2749,145,-1,0,0,0,0,-1,10,-9,0,0,-2,20,-19,0,0,162,34,-32,1,-1,
W,2722,0,57,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,2,-28,28,0,0,
D,2722,2743,173,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-130,6,-7,0,1,
D,2722,2714,37,-1,0,0,0,0,-1,1,0,0,0,-1,-4,3,0,0,-6,-4,3,0,1,
D,2721,2792,69,0,0,0,0,0,-7,0,0,0,0,-18,-7,6,0,0,-30,-64,50,1,1,
W,2721,2752,144,-1,0,0,0,0,0,1,0,0,0,10,6,-5,0,0,109,6,-5,-2,-1,
W,2721,2569,55,0,0,0,0,0,0,0,0,0,0,3,10,-7,0,0,57,28,-12,-10,0,
B,2721,2740,196,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,31,-10,151,-144,1,
B,2721,2717,104,-1,0,0,0,0,-1,0,0,0,0,-2,-1,0,0,0,-10,-44,43,-1,1,
D,2721,2588,129,0,0,0,0,0,0,0,0,0,0,3,-1,-1,0,0,-28,0,0,1,-1,
B,2721,2710,82,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,-56,-18,-15,-33,32,
W,2721,2574,81,0,0,0,0,0,-1,0,0,0,0,-2,0,0,0,0,13,-75,-7,41,1,
B,2721,2626,152,1,0,0,0,0,5,-3,0,0,1,25,-13,-9,6,1,33,-84,-84,77,2,
W,2721,2311,57,-1,0,0,0,0,-1,0,0,0,0,-1,-3,2,0,0,-14,-12,13,-1,0,
W,2721,2576,59,0,-1,0,0,0,0,-11,10,0,0,1,-21,21,0,0,16,-50,50,1,0,
W,2721,2510,77,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,8,7,-2,5,
W,2721,2414,79,-1,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,84,16,-14,0,-1,
W,2721,2765,115,0,0,0,0,0,0,0,0,0,0,-1,6,-7,0,0,1,15,-18,-2,-1,
D,2721,2723,39,0,0,0,0,0,1,0,0,0,0,3,-1,0,0,0,8,-2,0,0,1,
D,2721,2464,103,0,0,0,0,0,0,0,0,0,0,0,-3,2,0,0,-16,-4,-15,15,0,
W,2721,2645,71,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,17,0,-4,5,0,
W,2721,2654,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-28,28,1,0,
D,2721,2717,74,-1,0,0,0,0,-1,0,0,0,0,-1,-5,4,0,0,28,-18,10,9,0,
D,2721,2647,64,0,0,0,0,0,-1,-1,0,0,0,-3,-1,0,0,0,-9,0,3,-3,0,
D,2721,2667,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,-30,-1,1,
B,2721,2642,68,0,0,0,0,0,0,0,0,0,0,9,-7,0,0,0,-10,-10,-27,4,-1,
D,2721,2609,67,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-26,4,0,0,0,
W,2721,2662,82,-1,0,0,0,0,-1,2,-1,0,0,-1,12,-11,0,0,17,65,-62,0,0,
B,2721,2667,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,0,
D,2721,2675,61,-1,0,0,0,0,-1,2,-1,0,0,-2,12,-11,0,0,-19,21,-20,1,0,
D,2721,2731,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,0,
W,2721,2495,65,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-8,2,-24,27,0,
W,2721,2729,99,0,0,0,0,0,0,0,0,0,0,-7,4,-4,0,0,50,24,-26,2,1,
W,2721,2801,111,0,0,0,0,0,0,-1,0,0,0,0,-11,10,0,0,46,-91,92,2,-1,
W,2721,2765,103,-1,0,0,0,0,-1,1,0,0,0,-1,1,0,0,0,64,-6,-31,-41,39,
B,2721,2650,140,-1,0,0,0,0,-1,0,0,0,0,-1,-3,2,0,0,-158,5,56,-39,-2,
B,2721,2679,86,0,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,-15,21,-26,2,0,
D,2721,2644,58,-1,0,0,0,0,0,1,0,0,0,-5,1,0,0,0,-1,9,-3,-7,1,
B,2721,2717,88,-1,0,0,0,0,-1,0,0,0,0,-2,-1,0,0,0,0,41,-38,1,-1,
D,2721,2683,84,1,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,1,12,-12,-1,-1,
W,2721,2467,149,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,140,0,-9,0,8,
D,2721,2672,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,23,-24,0,
D,2720,0,103,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-28,58,-55,2,1,
B,2720,0,82,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,0,94,-48,2,0,-3,
W,2720,2540,53,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,
W,2720,2555,63,1,0,0,0,0,1,0,0,0,0,-4,-3,4,0,0,-32,-25,25,0,0,
W,2720,2615,75,-1,0,0,0,0,-1,-1,0,0,0,-1,-4,2,0,0,-4,-22,23,-1,1,
D,2720,2490,76,-1,0,0,0,0,-1,1,0,0,0,-1,1,0,0,0,-1,1,-1,0,-1,
W,2720,2655,71,0,0,0,0,0,3,-1,0,0,0,13,-1,0,0,0,52,30,26,23,-24,
W,2720,2530,97,-1,0,0,0,0,-1,-1,0,0,0,-1,3,-3,0,0,-40,48,-50,0,0,
D,2720,2717,25,0,0,0,0,0,1,0,0,0,0,999,999,999,999,999,1,0,0,0,0,
W,2720,2429,53,-1,0,0,0,0,-6,1,0,0,0,-6,1,0,0,0,-14,8,0,-1,0,
W,2720,2575,133,-1,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,6,-2,1,0,-1,
W,2720,2620,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,0,
W,2720,2584,67,3,0,0,0,0,2,0,0,0,0,2,-1,0,0,0,1,-1,0,-1,0,
W,2720,2521,204,0,0,0,0,0,-1,2,-1,0,0,-1,13,-11,0,0,200,64,-64,-2,0,
D,2720,2460,108,-1,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,-15,-12,11,1,0,
W,2720,0,55,0,2,-1,0,0,7,16,-11,0,1,7,33,-19,0,1,9,38,0,0,1,
B,2720,2058,58,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,18,-20,-1,-1,0,
B,2720,2815,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,73,-72,1,1,
W,2720,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,-80,-1,22,-1,
D,2720,2615,107,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,45,34,-49,92,-36,
W,2720,2585,133,1,0,0,0,0,1,1,0,0,0,0,-8,8,0,0,-25,-111,62,42,-1,
W,2720,2615,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,-1,11,-10,0,
W,2720,2666,67,0,4,-3,0,0,0,14,-13,0,0,7,24,-24,0,0,-24,62,-44,3,0,
D,2720,2700,170,1,0,0,0,0,2,0,0,0,0,3,1,0,0,0,6,2,1,-2,-1,
D,2720,0,68,3,0,0,0,0,4,0,0,0,0,4,10,-9,0,0,3,41,-40,0,1,
W,2720,2540,39,-1,0,0,0,0,-1,0,0,0,0,3,-3,0,0,0,12,-3,0,0,0,
W,2720,2565,59,-1,0,0,0,0,-10,-7,8,0,0,-27,-17,18,0,3,-78,-45,50,-4,3,
B,2720,2605,102,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-38,-72,69,1,-1,
D,2720,2663,119,1,0,0,0,0,1,-1,0,0,0,7,-1,-4,0,0,19,14,-18,1,0,
W,2720,0,51,0,0,0,0,0,-1,-7,6,0,0,-10,-15,15,0,0,-3,-26,30,-5,0,
D,2720,2325,47,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,-1,
W,2720,2485,81,0,0,0,0,0,-3,-5,6,0,0,-2,-15,16,0,0,-48,-108,64,41,-1,
W,2720,2717,99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,20,-49,51,0,0,
D,2720,0,50,0,0,0,0,0,1,4,-3,0,0,1,11,-11,0,1,1,11,-12,0,1,
D,2720,2480,90,-3,0,0,0,0,-3,0,0,0,0,-3,0,-1,0,0,-12,6,-2,-3,1,
W,2720,0,69,-3,0,0,0,0,3,3,-7,0,0,13,13,-17,0,0,17,48,-55,32,0,
B,2720,2788,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-32,-38,40,1,1,
W,2720,0,99,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,32,-61,60,-1,-1,
D,2720,0,68,1,0,0,0,0,1,0,0,0,0,1,0,-1,0,0,1,11,-12,0,1,
D,2720,2670,86,0,0,0,0,0,-1,-1,0,0,0,-3,-1,0,0,1,-3,0,1,0,1,
D,2720,2695,66,0,0,0,0,0,3,-1,0,0,0,13,-1,0,0,0,60,3,-3,0,0,
D,2720,2126,80,-7,0,0,0,0,-16,0,-1,0,0,-26,5,-7,0,0,-50,0,-2,-1,-1,
W,2720,2102,69,0,0,0,0,0,3,1,-1,0,0,3,1,-1,0,0,19,-23,24,-1,1,
D,2720,0,88,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-2,0,-1,0,1,
W,2720,2585,81,-1,0,0,0,0,-2,0,0,0,0,-2,-1,-1,0,1,44,38,-41,2,1,
W,2720,2381,59,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,-7,-1,0,0,1,
W,2720,2152,43,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,2,-9,9,0,0,
W,2720,2630,79,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,-6,3,-1,0,
D,2720,2460,144,-1,0,0,0,0,-1,0,0,0,0,-2,0,0,0,0,-68,-100,99,1,-1,
W,2720,0,105,0,0,0,0,0,-1,0,1,0,0,-1,-1,1,0,0,20,-41,42,-1,0,
B,2720,2698,84,0,0,0,0,0,-9,0,0,0,0,-19,1,0,0,0,-119,22,-49,27,0,
W,2720,2455,77,0,0,0,0,0,-9,-3,2,0,0,-24,-18,12,8,0,-55,-46,44,24,-1,
D,2720,2555,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,46,-22,-32,1,
B,2720,2625,106,-1,0,0,0,0,-5,0,0,0,0,-6,-1,1,0,0,-17,-62,61,0,-1,
W,2720,2589,123,-1,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,0,22,-14,10,0,0,
W,2720,2630,99,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,108,-30,0,2,3,
W,2720,2615,91,0,0,0,0,0,0,0,0,0,0,-2,-1,0,0,0,-2,54,-53,1,0,
W,2720,2521,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-91,20,73,0,
W,2720,2515,105,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,-2,-16,17,1,0,
B,2720,2690,90,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,6,0,3,-3,-3,
D,2720,2700,98,0,0,0,0,0,1,4,-3,0,0,2,14,-13,0,0,46,24,-22,1,1,
W,2720,2690,101,-1,0,0,0,0,-1,-1,0,0,0,-2,-1,0,0,0,-54,-66,1,63,1,
